win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
331,1,1.0,1.0,0.4166666666666667,1.0,0.0,1.0,0.99999976,0.9999999999999395,0.4241645177906526
332,1,1.0,1.0,0.5166666666666667,1.0,0.0,1.0,1.0,0.9999999999999022,0.47289967512872066
333,1,1.0,1.0,0.48333333333333334,1.0,0.0,1.0,1.0,0.999999999999917,0.47479318487489075
334,1,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.999999999999919,0.49655156649109605
335,1,1.0,1.0,0.7166666666666667,1.0,1.0,1.0,1.0,0.9999999999999472,0.6513579159866025
336,1,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.99999999999997,0.5115587907717022
337,1,1.0,1.0,0.6166666666666667,1.0,1.0,1.0,1.0,0.99999999999997,0.5729693336004554
338,1,1.0,1.0,0.5,1.0,0.0,1.0,0.99999905,0.99999999999997,0.511243494427931
339,1,1.0,1.0,0.5166666666666667,1.0,0.0,1.0,0.9999999,0.99999999999997,0.5017929543708995
340,1,1.0,1.0,0.45,1.0,0.0,1.0,1.0,0.99999999999997,0.4913144298476885
341,1,1.0,1.0,0.5666666666666667,1.0,1.0,1.0,1.0,0.99999999999997,0.5342432787512134
342,1,1.0,1.0,0.5333333333333333,1.0,0.0,1.0,1.0,0.99999999999997,0.5143472484125309
343,1,1.0,1.0,0.4666666666666667,1.0,0.0,1.0,1.0,0.99999999999997,0.474285987519508
344,1,1.0,1.0,0.55,1.0,0.0,1.0,0.99999976,0.99999999999997,0.5296426380903329
345,0,1.0,0.8666666666666667,1.0,1.0,0.0,1.0,5.400171e-10,0.2581174503842475,0.21181598972671117
346,0,1.0,1.0,0.95,1.0,1.0,1.0,1.6920972e-11,0.0054413993986325545,0.12898314488149762
347,0,1.0,1.0,1.0,1.0,1.0,1.0,0.07389038,0.003776641706973597,0.09753865938057223
348,0,1.0,1.0,1.0,1.0,1.0,1.0,2.0947694e-10,0.0028983079940800146,0.12242541612268362
349,0,1.0,1.0,1.0,1.0,1.0,1.0,2.543979e-11,0.0048990987478734595,0.11631066127248443
350,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,2.2561663e-08,0.004285137257954508,0.14318167685210362
351,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,2.3915603e-12,0.0034491595254291423,0.12709432395637135
352,0,1.0,1.0,1.0,1.0,1.0,1.0,2.772088e-13,0.0040572812662005775,0.13524437141114637
353,0,1.0,1.0,1.0,1.0,1.0,1.0,9.845226e-07,0.003681352461215772,0.09825422313820432
354,0,1.0,1.0,1.0,1.0,1.0,1.0,6.932944e-07,0.004953706060814244,0.12315318088771994
355,0,0.0,1.0,0.9833333333333333,1.0,0.0,0.0,0.6257733,0.00461397855578879,0.11810916722485788
356,0,1.0,1.0,1.0,1.0,1.0,1.0,2.8632356e-15,0.004026355854716237,0.14346716520035685
357,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.5321226e-06,0.0032456955288137092,0.11899189437961068
358,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.0003419373,0.005504996566972708,0.1415524014105119
359,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.0554333e-07,0.0034230709955271736,0.14281964332329986
360,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,7.460765e-09,0.004342646556160584,0.13455880560510544
361,0,1.0,1.0,1.0,1.0,1.0,1.0,8.981416e-12,0.0036795987437181214,0.14575932352159254
362,0,1.0,1.0,1.0,1.0,1.0,1.0,4.964711e-13,0.003699680790848916,0.12148812218006981
363,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,3.6677786e-06,0.004368773996683556,0.14119528372029616
364,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.1875579e-09,0.003937643396736222,0.11465014160490958
365,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,0.002728088,0.004336636833619957,0.13917867721806954
366,0,1.0,1.0,1.0,1.0,1.0,1.0,4.527628e-12,0.0037839461893012655,0.10451029783200097
367,0,1.0,1.0,1.0,1.0,1.0,1.0,2.0714004e-09,0.004330517745887641,0.1294764360537096
368,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0892572e-13,0.0038308631069707004,0.10577546987305042
369,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,3.3841378e-11,0.004208127587206467,0.14530683924124985
370,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,1.6363802e-12,0.0064553687487934434,0.1287313596321817
371,0,1.0,1.0,1.0,1.0,1.0,1.0,1.6920972e-11,0.0034532092123473784,0.1376622683883913
372,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,7.0866285e-08,0.004085620691371166,0.13475836615243295
373,0,1.0,1.0,1.0,1.0,1.0,1.0,3.525749e-09,0.006503638267037145,0.12842840862053476
374,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,6.491023e-12,0.0034389504809156585,0.13560050664687515
375,0,1.0,1.0,0.9833333333333333,1.0,1.0,1.0,1.4778819e-07,0.003734101571237698,0.11956081905527269
376,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0075050704,0.0028550367306435526,0.16389219993930468
377,0,1.0,1.0,1.0,1.0,1.0,1.0,0.00010277936,0.0033197628557977907,0.11919162363113774
378,0,1.0,1.0,0.9666666666666667,1.0,1.0,1.0,4.336773e-07,0.0038104688852829156,0.1624758842820565
379,0,0.0,1.0,0.9666666666666667,1.0,0.0,0.0,0.9696407,0.00461145994685661,0.1464566069849305
380,1,1.0,1.0,0.55,1.0,0.0,0.0,0.9999157,0.6512840226810709,0.24542227190881674
381,1,1.0,1.0,0.35,1.0,0.0,1.0,1.0,0.99999999999997,0.3446319038678404
382,1,1.0,1.0,0.35,1.0,0.0,1.0,1.0,0.99999999999997,0.3588794501206578
383,1,1.0,1.0,0.4,1.0,0.0,1.0,1.0,0.99999999999997,0.3631119361280495
384,1,1.0,1.0,0.48333333333333334,1.0,0.0,1.0,0.99999917,0.99999999999997,0.40954702357163303
385,1,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.9999999,0.99999999999997,0.3400097762094657
386,1,1.0,1.0,0.38333333333333336,1.0,0.0,1.0,1.0,0.99999999999997,0.36159633917468614
387,1,1.0,1.0,0.38333333333333336,1.0,0.0,1.0,0.99999905,0.99999999999997,0.34579691693982095
388,1,1.0,1.0,0.4666666666666667,1.0,0.0,1.0,1.0,0.99999999999997,0.4089670270251097
389,1,1.0,1.0,0.4,1.0,0.0,1.0,1.0,0.99999999999997,0.3600508153066812
390,1,1.0,1.0,0.4166666666666667,1.0,0.0,1.0,0.99999976,0.99999999999997,0.39460990210007285
391,1,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.99999999999997,0.40970656575837666
392,1,1.0,1.0,0.38333333333333336,1.0,0.0,0.0,0.70264256,0.99999999999997,0.3662127262671998
393,1,1.0,1.0,0.38333333333333336,1.0,0.0,1.0,1.0,0.99999999999997,0.35805920243564304
394,1,1.0,1.0,0.4666666666666667,1.0,0.0,1.0,1.0,0.99999999999997,0.3908558361785771
395,1,1.0,1.0,0.36666666666666664,1.0,0.0,1.0,1.0,0.99999999999997,0.3671454896274276
396,1,1.0,1.0,0.48333333333333334,1.0,0.0,1.0,1.0,0.99999999999997,0.43119211328148044
397,1,1.0,1.0,0.4166666666666667,1.0,0.0,1.0,0.9999999,0.99999999999997,0.3659027809823663
398,1,1.0,1.0,0.4666666666666667,1.0,0.0,1.0,1.0,0.99999999999997,0.394770422192354
399,1,1.0,1.0,0.55,1.0,0.0,1.0,0.99984896,0.99999999999997,0.45818880713353305
400,1,1.0,1.0,0.3,1.0,0.0,1.0,1.0,0.99999999999997,0.3174980397880487
401,1,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.99999999999997,0.32739396802196563
402,1,1.0,1.0,0.5333333333333333,1.0,0.0,1.0,0.98770475,0.99999999999997,0.4312478738078202
403,1,1.0,1.0,0.38333333333333336,1.0,0.0,1.0,0.99948585,0.99999999999997,0.3742271175301608
404,1,1.0,1.0,0.45,1.0,0.0,1.0,1.0,0.99999999999997,0.3991033479930567
405,1,1.0,1.0,0.43333333333333335,1.0,0.0,0.0,0.9999306,0.92187509478668,0.36767509593541103
