level,scene,acc_v_mean,acc_m_mean,acc_u_mean,acc_mv_mean,acc_ds_eq_mean,acc_ds_static_mean,acc_ours_mean,best_single,gain_mv_pp,gain_ds_eq_pp,gain_ds_static_pp,gain_ours_pp
0,v,0.9900793650793651,0.9972056878306879,1.0,1.0,0.9722222222222222,0.9722222222222222,1.0,1.0,0.0,-2.777777777777779,-2.777777777777779,0.0
0,m,0.9900793650793651,0.996031746031746,1.0,1.0,0.9712301587301587,0.9712301587301587,1.0,1.0,0.0,-2.876984126984128,-2.876984126984128,0.0
0,u,0.9900793650793651,0.9758928571428572,0.9999834656084656,0.9990079365079365,0.9494047619047619,0.9503968253968254,1.0,0.9999834656084656,-0.09755291005291156,-5.0578703703703765,-4.958664021164028,0.0016534391534372972
0,vm,0.9900793650793651,0.9963789682539684,1.0,1.0,0.9751984126984127,0.9712301587301587,1.0,1.0,0.0,-2.4801587301587324,-2.876984126984128,0.0
0,vu,0.9900793650793651,0.99619708994709,0.9999834656084656,1.0,0.9732142857142857,0.9732142857142857,1.0,0.9999834656084656,0.0016534391534372972,-2.676917989417993,-2.676917989417993,0.0016534391534372972
0,mu,0.9900793650793651,0.9958002645502645,1.0,1.0,0.9722222222222222,0.9712301587301587,1.0,1.0,0.0,-2.777777777777779,-2.876984126984128,0.0
0,vmu,0.9900793650793651,0.9967757936507936,1.0,1.0,0.9712301587301587,0.9722222222222222,1.0,1.0,0.0,-2.876984126984128,-2.777777777777779,0.0
1,v,0.7936507936507936,0.996031746031746,1.0,0.9990079365079365,0.7757936507936508,0.7738095238095238,0.998015873015873,1.0,-0.09920634920634885,-22.420634920634917,-22.619047619047617,-0.1984126984126977
1,m,0.9900793650793651,0.9274305555555554,1.0,1.0,0.9543650793650794,0.9553571428571429,1.0,1.0,0.0,-4.563492063492058,-4.46428571428571,0.0
1,u,0.9900793650793651,0.9762566137566138,0.9895337301587301,0.9990079365079365,0.9484126984126984,0.9503968253968254,0.9990079365079365,0.9900793650793651,0.8928571428571397,-4.166666666666674,-3.9682539682539764,0.8928571428571397
1,vm,0.7936507936507936,0.9259920634920634,1.0,0.9990079365079365,0.7599206349206349,0.7549603174603174,0.9970238095238095,1.0,-0.09920634920634885,-24.007936507936513,-24.503968253968257,-0.29761904761904656
1,vu,0.7936507936507936,0.9955853174603174,0.9896329365079364,0.9990079365079365,0.7738095238095238,0.7748015873015873,0.998015873015873,0.9955853174603174,0.3422619047619091,-22.17757936507936,-22.07837301587301,0.24305555555556024
1,mu,0.9900793650793651,0.934755291005291,0.9906084656084656,1.0,0.9573412698412699,0.9563492063492064,1.0,0.9906084656084656,0.9391534391534395,-3.3267195767195723,-3.425925925925921,0.9391534391534395
