win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,0.7333333333333333,1.0,0.0,0.0,0.0,1.5364675e-10,0.9999999793759884,0.22738641393657355,0.35259989027077004,0.9933071490757153,0.3775406687981454
1,0,1.0,0.0,0.6833333333333333,1.0,0.0,0.0,0.0,2.7626329e-05,0.9919458633432872,0.26229058855884685,0.47595462841433817,0.9933071490757153,0.3775406687981454
2,0,1.0,0.8,0.7666666666666667,1.0,0.0,1.0,1.0,0.030698394,0.2742950827864653,0.19368383753917584,0.21595997506685738,0.9933071490757153,0.3775406687981454
3,0,1.0,1.0,0.6333333333333333,1.0,1.0,1.0,1.0,1.4214578e-06,0.009140589955900348,0.29543440815023797,0.22974129422328124,0.9933071490757153,0.3775406687981454
4,0,1.0,1.0,0.7666666666666667,1.0,1.0,1.0,1.0,2.1276865e-08,0.00492066361062718,0.21555010283544623,0.3087153388529844,0.9933071490757153,0.3775406687981454
5,0,1.0,1.0,0.65,1.0,1.0,1.0,1.0,3.3615801e-09,0.0035660550679687247,0.2854684599469715,0.377482211944314,0.9933071490757153,0.3775406687981454
6,0,1.0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,5.00453e-06,0.004349827879038291,0.1335513866818156,0.4861502896638473,0.9933071490757153,0.3775406687981454
7,0,1.0,1.0,0.7666666666666667,1.0,1.0,1.0,1.0,3.6367112e-09,0.00463226355090266,0.21404881119851332,0.25039332890991317,0.9933071490757153,0.3775406687981454
8,0,1.0,1.0,0.65,1.0,1.0,1.0,1.0,2.8796281e-05,0.004130610662820106,0.27218915114312525,0.5956538902825546,0.9933071490757153,0.3775406687981454
9,0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,5.1437694e-09,0.003239475519275629,0.22493030693447175,0.9981546838750985,0.9933071490757153,0.3775406687981454
10,0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.7728411e-07,0.003954440252649351,0.24460327313554467,0.4724377283352083,0.9933071490757153,0.3775406687981454
11,0,1.0,1.0,0.6833333333333333,1.0,1.0,1.0,1.0,0.015114606,0.004671959051386679,0.25486421629148825,0.1,0.9933071490757153,0.3775406687981454
12,0,1.0,1.0,0.7666666666666667,1.0,1.0,1.0,1.0,0.0001539057,0.005139468372314732,0.18923598003486777,0.37256884291784326,0.9933071490757153,0.3775406687981454
13,0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.0002764577,0.004101725146771932,0.24308750340334487,0.2301426103893533,0.9933071490757153,0.3775406687981454
14,0,1.0,1.0,0.6833333333333333,1.0,1.0,1.0,1.0,0.0811585,0.004219576577336402,0.25553745010883616,0.2935840707988522,0.9933071490757153,0.3775406687981454
15,0,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,7.130225e-10,0.0034865606666427723,0.23298022908855792,0.1,0.9933071490757153,0.3775406687981454
16,0,1.0,1.0,0.7,1.0,0.0,0.0,1.0,0.4079376,0.0068673118438555185,0.26045145139732273,0.4241623911654031,0.9933071490757153,0.3775406687981454
17,0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,2.3863172e-06,0.00401987125180977,0.24904699027880367,0.28958430808182556,0.9933071490757153,0.3775406687981454
18,0,1.0,1.0,0.7666666666666667,1.0,1.0,1.0,1.0,8.512444e-15,0.003733508444971161,0.21980637048170892,0.1,0.9933071490757153,0.3775406687981454
19,0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.2855393e-16,0.005860558855799214,0.22560505673610814,0.6068489763204095,0.9933071490757153,0.3775406687981454
20,0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,2.2745632e-09,0.005572401433796568,0.18726527835942736,0.4479922340954125,0.9933071490757153,0.3775406687981454
21,0,0.0,1.0,0.7333333333333333,1.0,0.0,0.0,1.0,0.9998914,0.0048245981728560865,0.22568239218081812,0.1,0.9933071490757153,0.3775406687981454
22,0,1.0,1.0,0.6166666666666667,1.0,1.0,1.0,1.0,0.0019498431,0.010896718549104433,0.3070699886967449,0.22032606168495303,0.9933071490757153,0.3775406687981454
23,0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,9.522486e-12,0.004904373209090876,0.22039448015266228,0.9785802016682523,0.9933071490757153,0.3775406687981454
24,0,1.0,1.0,0.7833333333333333,1.0,1.0,1.0,1.0,1.9203452e-07,0.004527973824506189,0.1918473219916868,0.47513446691024325,0.9933071490757153,0.3775406687981454
25,0,1.0,1.0,0.7833333333333333,1.0,1.0,1.0,1.0,0.054210585,0.00364405980983783,0.1766702788814565,0.37188546592394317,0.9933071490757153,0.3775406687981454
26,0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,3.989077e-08,0.004761246028682411,0.2788671529395737,0.6989249252535957,0.9933071490757153,0.3775406687981454
27,0,0.0,1.0,0.75,1.0,0.0,0.0,1.0,0.9950177,0.0059813007410471075,0.20879665145814355,0.1,0.9933071490757153,0.3775406687981454
28,0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,3.989077e-08,0.004674358560609199,0.253788997576916,0.6989249252535957,0.9933071490757153,0.3775406687981454
29,0,1.0,1.0,0.65,1.0,1.0,1.0,1.0,2.0474683e-05,0.004532403923996567,0.2886066751737352,0.13704988764288545,0.9933071490757153,0.3775406687981454
30,0,1.0,1.0,0.6833333333333333,1.0,1.0,1.0,1.0,4.376888e-14,0.0036887918112270615,0.25476865911649343,0.9992870739286452,0.9933071490757153,0.3775406687981454
31,0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,2.983479e-15,0.00475166336356877,0.1746911098684691,0.1,0.9933071490757153,0.3775406687981454
32,0,1.0,1.0,0.7833333333333333,1.0,1.0,0.0,1.0,0.2740851,0.00499843419128134,0.18595887646822745,0.1,0.9933071490757153,0.3775406687981454
33,0,1.0,1.0,0.6833333333333333,1.0,1.0,1.0,1.0,0.069815874,0.004684256722974531,0.25517140320985193,0.1,0.9933071490757153,0.3775406687981454
34,0,1.0,1.0,0.6166666666666667,1.0,1.0,1.0,1.0,2.3807635e-13,0.005189567223468588,0.3070727822705578,0.1,0.9933071490757153,0.3775406687981454
35,0,1.0,1.0,0.6333333333333333,1.0,0.0,1.0,1.0,1.0659568e-16,0.23711790139680577,0.41293610062051733,0.16544472995099016,0.9933071490757153,0.3775406687981454
36,1,0.0,1.0,0.6833333333333333,1.0,0.0,0.0,1.0,6.450378e-06,0.99999999999997,0.6768374456642603,0.11581423073565997,0.9933071490757153,0.3775406687981454
37,1,1.0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,0.9999995,0.99999999999997,0.7163879175320543,0.824679684959482,0.9933071490757153,0.3775406687981454
38,1,0.0,1.0,0.7166666666666667,1.0,0.0,0.0,1.0,7.6281964e-10,0.99999999999997,0.6886745476689732,0.1,0.9933071490757153,0.3775406687981454
39,1,0.0,1.0,0.8166666666666667,1.0,0.0,0.0,1.0,1.0134024e-11,0.99999999999997,0.7929320319320019,0.1,0.9933071490757153,0.3775406687981454
40,1,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.99999976,0.99999999999997,0.6621586510008187,0.9511460035914114,0.9933071490757153,0.3775406687981454
41,1,0.0,1.0,0.7833333333333333,1.0,0.0,0.0,1.0,0.40990007,0.99999999999997,0.7569753296675167,0.1,0.9933071490757153,0.3775406687981454
42,1,0.0,1.0,0.6333333333333333,1.0,0.0,0.0,1.0,3.1835095e-06,0.99999999999997,0.6358780491640843,0.25596994349984514,0.9933071490757153,0.3775406687981454
43,1,1.0,1.0,0.7166666666666667,1.0,1.0,1.0,1.0,0.98504794,0.99999999999997,0.7067262492566125,0.5140550021468716,0.9933071490757153,0.3775406687981454
