win_idx,label,acc_v,acc_m,acc_u,acc_fused,P_v,P_m,P_u,brightness,multipath_p,emi,w_v,w_m,w_u
0,0,1.0,0.0,0.9,1.0,5.0128002e-17,0.784407714394319,0.21619707044115358,0.472991239048811,0.5,20,0.9836150049567277,0.0066928509242848554,0.3775406687981454
1,0,1.0,0.0,0.8833333333333333,1.0,0.00042936762,0.7844077831484974,0.2280456555313546,0.7343932167461579,0.5,20,0.9996699374474312,0.0066928509242848554,0.3775406687981454
2,0,1.0,0.0,0.8333333333333334,1.0,1.6319114e-05,0.7844078762854207,0.23144210041482924,0.5560317037825688,0.5,20,0.9952292783423453,0.0066928509242848554,0.3775406687981454
3,0,1.0,0.0,0.8666666666666667,0.0,0.47118104,0.784407876035516,0.22019702086778117,0.5650567877424193,0.5,20,0.9958307942845372,0.0066928509242848554,0.3775406687981454
4,0,1.0,0.0,0.9,1.0,1.5666826e-13,0.7844078762852625,0.24352147252916417,0.3502101817646006,0.5,20,0.9049221360849063,0.0066928509242848554,0.3775406687981454
5,0,1.0,0.0,0.85,1.0,5.304958e-07,0.7844078688699894,0.22455286056165147,0.5149133556931544,0.5,20,0.9911959494234546,0.0066928509242848554,0.3775406687981454
6,0,1.0,0.0,0.9,1.0,1.3533453e-12,0.7844078762788257,0.19662672090964733,0.673453240945501,0.5,20,0.9991770555836388,0.0066928509242848554,0.3775406687981454
7,0,1.0,0.0,0.8666666666666667,1.0,1.1514569e-06,0.784407876265043,0.2388450287660969,0.7697336293007769,0.5,20,0.9998057177852178,0.0066928509242848554,0.3775406687981454
8,0,1.0,0.0,0.8833333333333333,1.0,2.8957786e-10,0.7844078762744012,0.21736053604315828,0.47668504901960784,0.5,20,0.9844844557890989,0.0066928509242848554,0.3775406687981454
9,0,1.0,0.0,0.8166666666666667,1.0,1.1934823e-09,0.7844078762846484,0.2352417296894265,0.5316325014854426,0.5,20,0.9931353883012218,0.0066928509242848554,0.3775406687981454
10,0,1.0,0.0,0.85,1.0,6.8180616e-14,0.7844078762846097,0.22042826162265464,0.33882466076946466,0.5,20,0.8891777814033919,0.0066928509242848554,0.3775406687981454
11,0,1.0,0.0,0.9333333333333333,1.0,1.1586832e-10,0.7844078762853328,0.18643958996161766,0.5884112486188611,0.5,20,0.9970593179760735,0.0066928509242848554,0.3775406687981454
12,0,1.0,0.0,0.9166666666666666,1.0,1.3889149e-13,0.7844071762472901,0.20629217266935598,0.33007862082030875,0.5,20,0.8755751768867807,0.0066928509242848554,0.3775406687981454
13,0,1.0,0.0,0.8666666666666667,1.0,2.0276866e-06,0.7844078762854647,0.24809494261296466,0.7197594013450791,0.5,20,0.9995889526535902,0.0066928509242848554,0.3775406687981454
14,0,1.0,0.0,0.85,1.0,1.0844609e-08,0.7844078762773089,0.24270788517186276,0.6626667099152869,0.5,20,0.9990326676688622,0.0066928509242848554,0.3775406687981454
15,0,1.0,0.0,0.9166666666666666,1.0,7.660099e-06,0.784407876283815,0.19370124931592456,0.5985256117951057,0.5,20,0.9974722233417367,0.0066928509242848554,0.3775406687981454
16,0,1.0,0.0,0.9333333333333333,1.0,1.082238e-11,0.7844078762821008,0.1899201850456208,0.7068883723702247,0.5,20,0.9995014587636409,0.0066928509242848554,0.3775406687981454
17,0,1.0,0.0,0.9166666666666666,1.0,9.976099e-06,0.7844078762490153,0.21453369391033972,0.39298388946221763,0.5,20,0.9475867139621446,0.0066928509242848554,0.3775406687981454
18,0,1.0,0.0,0.8333333333333334,1.0,8.267703e-14,0.7844078762853859,0.23160901025121625,0.6812643081924128,0.5,20,0.9992679757493127,0.0066928509242848554,0.3775406687981454
19,0,1.0,0.0,0.8166666666666667,1.0,1.0540571e-15,0.7844078762854563,0.25127073712543946,0.4100180781532471,0.5,20,0.9589194054137641,0.0066928509242848554,0.3775406687981454
20,0,1.0,0.0,0.9166666666666666,1.0,0.00054043124,0.7844078762819147,0.18205455363500725,0.43718395252837977,0.5,20,0.9722872661273539,0.0066928509242848554,0.3775406687981454
21,0,1.0,0.0,0.9,1.0,2.6840419e-11,0.7844078539289343,0.16737874387632462,0.36602447180422554,0.5,20,0.9234637511198427,0.0066928509242848554,0.3775406687981454
22,0,1.0,0.0,0.85,1.0,3.1691798e-07,0.784407876285464,0.17934064151202253,0.5224870335230866,0.5,20,0.9921339765723572,0.0066928509242848554,0.3775406687981454
23,0,1.0,0.0,0.8666666666666667,1.0,0.01930715,0.7844078762853502,0.2254313571205443,0.48017834523990477,0.5,20,0.9852648570601449,0.0066928509242848554,0.3775406687981454
24,0,1.0,0.0,0.9166666666666666,1.0,1.0338325e-13,0.7844078762848619,0.16884790645554898,0.6507326242043658,0.5,20,0.9988432567619593,0.0066928509242848554,0.3775406687981454
25,0,1.0,0.0,0.8333333333333334,1.0,8.649128e-09,0.7844078762658958,0.25434938962204773,0.6363720612623158,0.5,20,0.9985656110476121,0.0066928509242848554,0.3775406687981454
26,0,1.0,0.0,0.8333333333333334,1.0,4.183207e-11,0.7844078762814161,0.2468744067549913,0.6514026292335116,0.5,20,0.9988548106495583,0.0066928509242848554,0.3775406687981454
27,0,1.0,0.0,0.8833333333333333,1.0,1.0084135e-09,0.7844078755799787,0.25591480857822546,0.6577132951563839,0.5,20,0.9989581338893614,0.0066928509242848554,0.3775406687981454
28,0,1.0,0.0,0.8,1.0,0.022972692,0.7844078762832485,0.254855773764292,0.7064496111482088,0.5,20,0.999498168486304,0.0066928509242848554,0.3775406687981454
29,0,1.0,0.0,0.9,1.0,1.0084135e-09,0.7844078762853605,0.19952077950433952,0.6577132951563839,0.5,20,0.9989581338893614,0.0066928509242848554,0.3775406687981454
30,0,1.0,0.0,0.9,1.0,0.00032671785,0.7844078762848704,0.21835783370111533,0.6671687462863933,0.5,20,0.999095778156155,0.0066928509242848554,0.3775406687981454
31,0,1.0,0.0,0.8666666666666667,1.0,3.0423872e-11,0.7843572677214847,0.24202057696366483,0.5627621591272167,0.5,20,0.9956854243282073,0.0066928509242848554,0.3775406687981454
32,0,1.0,0.0,0.8833333333333333,1.0,6.290681e-15,0.7844078762854179,0.2102364128185036,0.39699554999304687,0.5,20,0.9504961303695368,0.0066928509242848554,0.3775406687981454
33,0,1.0,0.0,0.9166666666666666,1.0,0.0031141515,0.7844078762441975,0.18141336290921947,0.5628752511105453,0.5,20,0.9956927057834333,0.0066928509242848554,0.3775406687981454
