win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
634,1,0.0,1.0,1.0,1.0,0.0,0.0,5.4158527e-09,0.9999999999979917,0.9912749106361078
635,1,1.0,1.0,1.0,1.0,1.0,1.0,0.92582697,0.9999999999995545,0.9913111048874838
636,1,0.0,1.0,1.0,1.0,0.0,0.0,2.2321087e-10,0.9999999999993674,0.991282892605003
637,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.9999999999997644,0.9913103052035611
638,1,0.0,1.0,1.0,1.0,0.0,0.0,6.325571e-07,0.9999999999997908,0.9912932574866102
639,1,0.0,1.0,1.0,1.0,0.0,0.0,0.000108085005,0.9999999999996779,0.9912724005693533
640,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9904473,0.9999999999979234,0.9912775181541781
641,1,0.0,1.0,1.0,1.0,0.0,0.0,9.617767e-07,0.9999999999997846,0.9912835219559298
642,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99300367,0.9999999999996588,0.991283712562401
643,1,0.0,1.0,1.0,1.0,0.0,0.0,0.011504738,0.9999999999994205,0.9913157435209953
644,1,0.0,1.0,1.0,1.0,0.0,0.0,6.768534e-08,0.9999999999995981,0.9913079647723783
645,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9938194,0.9999999999981726,0.9912886782137307
646,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0002598394,0.34790973453896085,0.3262150290772637
647,0,1.0,1.0,1.0,1.0,1.0,1.0,1.4288894e-11,0.005026337974930446,0.017980198191298216
648,0,1.0,1.0,1.0,1.0,1.0,1.0,1.8823603e-07,0.00547124517566991,0.017995080452639246
649,0,1.0,1.0,1.0,1.0,1.0,1.0,1.2586152e-05,0.0052246505748581975,0.01797353808325297
650,0,1.0,1.0,1.0,1.0,1.0,1.0,4.5958213e-13,0.004713523920822996,0.01801896558956598
651,0,1.0,1.0,1.0,1.0,1.0,1.0,1.2074309e-09,0.005675699536903067,0.018017262736484924
652,0,1.0,1.0,1.0,1.0,1.0,1.0,5.245687e-05,0.004025651806093629,0.01801528650809552
653,0,1.0,1.0,1.0,1.0,1.0,1.0,2.3487997e-08,0.004712518932212537,0.0179961133936399
654,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0016771324,0.00461438683650123,0.017955802432363947
655,0,1.0,1.0,1.0,1.0,1.0,1.0,7.5549515e-08,0.003858531876563664,0.018007573843168898
656,0,1.0,1.0,1.0,1.0,1.0,1.0,5.138191e-05,0.003824816070512922,0.0180305622179223
657,0,1.0,1.0,1.0,1.0,1.0,1.0,5.166744e-05,0.005557668487403051,0.018005462110306295
658,0,1.0,1.0,1.0,1.0,1.0,1.0,2.5900992e-08,0.003459439440588523,0.01800474369714271
659,0,1.0,1.0,1.0,1.0,1.0,1.0,0.14741011,0.00539014088014955,0.017948586188866144
660,0,1.0,1.0,1.0,1.0,1.0,1.0,5.801986e-06,0.004149987813003057,0.017981690081250768
661,0,1.0,1.0,1.0,1.0,1.0,1.0,5.2228614e-07,0.004683157096246249,0.017957772375642323
662,0,1.0,1.0,1.0,1.0,1.0,1.0,1.7877018e-07,0.003452658426618041,0.01796419437124337
663,0,1.0,1.0,1.0,1.0,1.0,1.0,3.1405548e-07,0.005219803073089168,0.01799939441273226
664,0,1.0,1.0,1.0,1.0,1.0,1.0,6.905296e-07,0.004894018782562035,0.017947561526632575
665,0,1.0,1.0,1.0,1.0,1.0,1.0,2.4625106e-09,0.004790837903946203,0.01800030637165711
666,0,1.0,1.0,1.0,1.0,1.0,1.0,5.883027e-06,0.0038937856883505197,0.01800118874551888
667,0,1.0,1.0,1.0,1.0,1.0,1.0,8.9463145e-05,0.004271371579503272,0.018027752246095832
668,0,1.0,0.9833333333333333,1.0,1.0,0.0,0.0,5.4414286e-05,0.3306623985554676,0.3257241722636947
669,1,0.0,1.0,1.0,1.0,0.0,0.0,3.5470282e-10,0.9999999999029555,0.9898586274191186
670,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9819759,0.9999999999865458,0.9898802880363616
671,1,0.0,1.0,1.0,1.0,0.0,0.0,0.13568263,0.9999999994479336,0.9898852635474964
672,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99995005,0.9999999996436861,0.9898600898738356
673,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999416,0.9999999998110364,0.9898619527776134
674,1,0.0,1.0,1.0,1.0,0.0,0.0,1.4305899e-06,0.9999999997744676,0.9898494088118123
675,1,0.0,1.0,1.0,1.0,0.0,0.0,0.00024741775,0.9999999996296636,0.9898509952007402
676,1,1.0,1.0,1.0,1.0,1.0,1.0,0.7051602,0.9999999996015616,0.9898770810500844
677,1,0.0,1.0,1.0,1.0,0.0,0.0,0.11171759,0.999999999957852,0.9898704408655731
678,1,1.0,1.0,1.0,1.0,1.0,1.0,0.999998,0.9999999999928196,0.9898986114258576
679,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9817824,0.9999999999158626,0.9898635770200576
680,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9853952,0.9999999998338526,0.9898567992002715
681,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99703205,0.9999999999449795,0.9898709771572882
682,1,1.0,1.0,1.0,1.0,1.0,1.0,0.96815544,0.999999999966646,0.9898508310589985
683,1,0.0,1.0,1.0,1.0,0.0,0.0,9.6191925e-06,0.9999999999999258,0.9898803135056758
684,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999994,0.999999999999799,0.9898454886298463
