scene,acc_v_mean,acc_m_mean,acc_u_mean,acc_mv_mean,acc_ds_eq_mean,acc_ds_static_mean,best_single,gain_mv_pp,gain_ds_eq_pp,gain_ds_static_pp
v,0.7450396825396826,0.9974867724867725,1.0,1.0,0.7232142857142857,0.7182539682539683,1.0,0.0,-27.67857142857143,-28.174603174603174
m,0.9871031746031746,0.7029100529100529,1.0,0.9950396825396826,0.6845238095238095,0.6884920634920635,1.0,-0.49603174603174427,-31.547619047619047,-31.150793650793652
u,0.9871031746031746,0.906580687830688,0.6403769841269841,0.9583333333333334,0.3611111111111111,0.8680555555555556,0.9871031746031746,-2.876984126984128,-62.59920634920635,-11.904761904761907
vm,0.7599206349206349,0.7029100529100529,1.0,0.9950396825396826,0.439484126984127,0.43452380952380953,1.0,-0.49603174603174427,-56.051587301587304,-56.547619047619044
vu,0.7628968253968254,0.9938161375661375,0.604050925925926,0.998015873015873,0.683531746031746,0.7063492063492064,0.9938161375661375,0.4199735449735509,-31.028439153439148,-28.746693121693113
mu,0.9871031746031746,0.7029100529100529,0.8229001322751323,0.9007936507936508,0.6676587301587301,0.6875,0.9871031746031746,-8.630952380952383,-31.944444444444454,-29.960317460317466
vmu,0.7529761904761905,0.7029100529100529,0.8229001322751323,0.8988095238095238,0.3888888888888889,0.42063492063492064,0.8229001322751323,7.590939153439158,-43.401124338624335,-40.226521164021165
