win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.016666666666666666,1.0,1.0,0.0,0.0,1.0,2.2862873e-11,0.9823162570682363,0.017983599099547633,0.9981243980711986,0.9859363729567544,0.9890130573694068
1,0,1.0,0.48333333333333334,1.0,1.0,0.0,1.0,1.0,6.63057e-08,0.5511463119444188,0.017999777609842133,0.9989697674119054,0.9859363729567544,0.9890130573694068
2,0,1.0,0.7166666666666667,1.0,1.0,1.0,1.0,1.0,0.101996884,0.3420443790019526,0.017980979121394392,0.9949203724076301,0.9859363729567544,0.9890130573694068
3,0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,5.204584e-07,0.2704257844860997,0.017994153186201463,0.995089026466219,0.9859363729567544,0.9890130573694068
4,0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.002682e-14,0.2676486823807846,0.0180109061957665,0.997773604373335,0.9859363729567544,0.9890130573694068
5,0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.9297019e-08,0.31573278026537593,0.018005712824834454,0.9976896137688731,0.9859363729567544,0.9890130573694068
6,0,1.0,0.7833333333333333,1.0,1.0,1.0,1.0,1.0,9.443865e-11,0.2872163453216187,0.018015482250310706,0.9990053344884574,0.9859363729567544,0.9890130573694068
7,0,1.0,0.6833333333333333,1.0,1.0,1.0,1.0,1.0,1.2128203e-07,0.4002563039972158,0.018032861524962716,0.9938498234649357,0.9859363729567544,0.9890130573694068
8,0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,6.0320206e-13,0.2211332414800183,0.01796670669012481,0.9992228857414609,0.9859363729567544,0.9890130573694068
9,0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,4.3131754e-10,0.32225286309353846,0.018003781775759255,0.9999629775814081,0.9859363729567544,0.9890130573694068
10,0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,2.9420555e-09,0.31885333468074734,0.01798663003310763,0.9975517672615839,0.9859363729567544,0.9890130573694068
11,0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.0130706e-10,0.3049802096838609,0.017943840566480348,0.9210911024844174,0.9859363729567544,0.9890130573694068
12,0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,5.0328166e-12,0.29447627070143234,0.01796371560326277,0.9971366053115113,0.9859363729567544,0.9890130573694068
13,0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,1.5228636e-06,0.3115263932897527,0.017958719216350845,0.9944773913507834,0.9859363729567544,0.9890130573694068
14,0,1.0,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,0.00046512013,0.3069356691043913,0.017937100262131262,0.9962567110645182,0.9859363729567544,0.9890130573694068
15,0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,2.4379879e-05,0.26050627062482234,0.017943099323066695,0.863349830276401,0.9859363729567544,0.9890130573694068
16,0,0.0,0.8166666666666667,1.0,1.0,0.0,0.0,1.0,0.9470502,0.259285701005644,0.018018339276010032,0.9969701184351536,0.9859363729567544,0.9890130573694068
17,0,1.0,0.7833333333333333,1.0,1.0,1.0,1.0,1.0,1.5845124e-09,0.2596066482863118,0.018030149930407986,0.9977643406632561,0.9859363729567544,0.9890130573694068
18,0,1.0,0.7833333333333333,1.0,1.0,1.0,1.0,1.0,7.123883e-12,0.29055739364365707,0.017977421674398694,0.9384416007177884,0.9859363729567544,0.9890130573694068
19,0,1.0,0.8166666666666667,1.0,1.0,1.0,1.0,1.0,8.930678e-13,0.3039770962739791,0.01793471341419194,0.9992624191965659,0.9859363729567544,0.9890130573694068
20,0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,3.0287807e-11,0.3208558627321873,0.018026880503779152,0.9987269915114377,0.9859363729567544,0.9890130573694068
21,0,1.0,0.7833333333333333,1.0,1.0,1.0,1.0,1.0,2.17858e-11,0.3090149459687996,0.018000857479563252,0.6124602581392218,0.9859363729567544,0.9890130573694068
22,0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0009685895,0.40419221528824334,0.018004540781351618,0.9940552882031537,0.9859363729567544,0.9890130573694068
23,0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,8.056608e-11,0.4225506131995089,0.018011160834375484,0.9998727171931,0.9859363729567544,0.9890130573694068
24,0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.209144e-11,0.3531793723969448,0.01797045040202643,0.9989851702585082,0.9859363729567544,0.9890130573694068
25,0,1.0,0.8166666666666667,1.0,1.0,1.0,1.0,1.0,0.0007418377,0.31587958628962526,0.01800694394025431,0.9979096703880043,0.9859363729567544,0.9890130573694068
26,0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.4350312e-12,0.23348092791333666,0.01801368071388895,0.9995000491186564,0.9859363729567544,0.9890130573694068
27,0,1.0,0.7833333333333333,1.0,1.0,1.0,1.0,1.0,7.574262e-14,0.31018275369884574,0.017970306518241982,0.8686148210154644,0.9859363729567544,0.9890130573694068
28,0,1.0,0.8166666666666667,1.0,1.0,1.0,1.0,1.0,1.4350312e-12,0.3065695724773451,0.017966158959989476,0.9995000491186564,0.9859363729567544,0.9890130573694068
29,0,1.0,0.8833333333333333,1.0,1.0,1.0,1.0,1.0,7.380884e-08,0.24525380008997497,0.018009917154296996,0.9886473111650002,0.9859363729567544,0.9890130573694068
30,0,1.0,0.8166666666666667,1.0,1.0,1.0,1.0,1.0,3.1385766e-13,0.30192877688436176,0.01799848196471161,0.9999645322527106,0.9859363729567544,0.9890130573694068
31,0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.000121736295,0.24681369230091335,0.01800534100244194,0.9417203491157764,0.9859363729567544,0.9890130573694068
32,0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,5.4541138e-06,0.271702732223136,0.018017869961445436,0.9561866473815563,0.9859363729567544,0.9890130573694068
33,0,1.0,0.7333333333333333,1.0,1.0,1.0,1.0,1.0,2.5808145e-05,0.33606277419960234,0.018002153392372752,0.8402784878844853,0.9859363729567544,0.9890130573694068
34,0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,7.100475e-07,0.2697146751382216,0.018022834463977917,0.9787355161457602,0.9859363729567544,0.9890130573694068
35,0,1.0,0.8666666666666667,1.0,1.0,0.0,0.0,1.0,1.0330953e-13,0.4446848730827817,0.23868876055271535,0.9944626925641986,0.9859363729567544,0.9890130573694068
