win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.15,1.0,1.0,0.0,0.0,1.0,1.5364675e-10,0.8277435250882605,0.017983599099547633,0.35259989027077004,0.9933071490757153,0.9890130573694068
1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7626329e-05,0.037116573497980365,0.017999777609842133,0.47595462841433817,0.9933071490757153,0.9890130573694068
2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.030698394,0.00459405360584554,0.017980979121394392,0.21595997506685738,0.9933071490757153,0.9890130573694068
3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4214578e-06,0.0041113079953616375,0.017994153186201463,0.22974129422328124,0.9933071490757153,0.9890130573694068
4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1276865e-08,0.004848558034723244,0.0180109061957665,0.3087153388529844,0.9933071490757153,0.9890130573694068
5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3615801e-09,0.0044558656764605515,0.018005712824834454,0.377482211944314,0.9933071490757153,0.9890130573694068
6,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.00453e-06,0.004188598350904951,0.018015482250310706,0.4861502896638473,0.9933071490757153,0.9890130573694068
7,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6367112e-09,0.004124936393579688,0.018032861524962716,0.25039332890991317,0.9933071490757153,0.9890130573694068
8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8796281e-05,0.0031597416516807807,0.01796670669012481,0.5956538902825546,0.9933071490757153,0.9890130573694068
9,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.1437694e-09,0.004122449187816875,0.018003781775759255,0.9981546838750985,0.9933071490757153,0.9890130573694068
10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7728411e-07,0.004035944515101478,0.01798663003310763,0.4724377283352083,0.9933071490757153,0.9890130573694068
11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015114606,0.0047364017815425385,0.017943840566480348,0.1,0.9933071490757153,0.9890130573694068
12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001539057,0.0036457602401307604,0.01796371560326277,0.37256884291784326,0.9933071490757153,0.9890130573694068
13,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002764577,0.0045588683904587935,0.017958719216350845,0.2301426103893533,0.9933071490757153,0.9890130573694068
