win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.2862873e-11,0.9889653479060233,0.017959888471902226,0.9981243980711986,0.9933071490757153,0.9890130573694068
1,0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,6.63057e-08,0.2098283534233599,0.018006972447954527,0.9989697674119054,0.9933071490757153,0.9890130573694068
2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.101996884,0.007704747256073351,0.017940393694755506,0.9949203724076301,0.9933071490757153,0.9890130573694068
3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.204584e-07,0.005388307709487355,0.017959786365954702,0.995089026466219,0.9933071490757153,0.9890130573694068
4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.002682e-14,0.004543019018837097,0.017985619856516293,0.997773604373335,0.9933071490757153,0.9890130573694068
5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9297019e-08,0.0036820208186231157,0.018014582222379408,0.9976896137688731,0.9933071490757153,0.9890130573694068
6,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.443865e-11,0.003787374365071217,0.018053433637474713,0.9990053344884574,0.9933071490757153,0.9890130573694068
7,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2128203e-07,0.0031699108169841376,0.0179586733318731,0.9938498234649357,0.9933071490757153,0.9890130573694068
8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0320206e-13,0.004389507810799205,0.017993795048093127,0.9992228857414609,0.9933071490757153,0.9890130573694068
9,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3131754e-10,0.00435139702506743,0.01795517560323687,0.9999629775814081,0.9933071490757153,0.9890130573694068
10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9420555e-09,0.004144033478752535,0.01794498794200229,0.9975517672615839,0.9933071490757153,0.9890130573694068
11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0130706e-10,0.0038777425453113195,0.017962196382155318,0.9210911024844174,0.9933071490757153,0.9890130573694068
12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0328166e-12,0.005559784397859963,0.018002532270847863,0.9971366053115113,0.9933071490757153,0.9890130573694068
13,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5228636e-06,0.0045876122718588935,0.01802995982129373,0.9944773913507834,0.9933071490757153,0.9890130573694068
14,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00046512013,0.00355872333520006,0.017965729659591447,0.9962567110645182,0.9933071490757153,0.9890130573694068
15,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4379879e-05,0.003683403153273347,0.01802267492101084,0.863349830276401,0.9933071490757153,0.9890130573694068
16,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9470502,0.004527460252451195,0.017979156147699946,0.9969701184351536,0.9933071490757153,0.9890130573694068
17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5845124e-09,0.0053172095780742255,0.01794713332734705,0.9977643406632561,0.9933071490757153,0.9890130573694068
18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.123883e-12,0.004275384534259453,0.018020652751714227,0.9384416007177884,0.9933071490757153,0.9890130573694068
19,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.930678e-13,0.004792546263648641,0.018035600697984756,0.9992624191965659,0.9933071490757153,0.9890130573694068
20,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0287807e-11,0.0037156334610014144,0.018041774276041752,0.9987269915114377,0.9933071490757153,0.9890130573694068
21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.17858e-11,0.004238399030322656,0.018033517943042674,0.6124602581392218,0.9933071490757153,0.9890130573694068
22,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009685895,0.004627338392936143,0.017998025997780456,0.9940552882031537,0.9933071490757153,0.9890130573694068
23,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.056608e-11,0.0039566365776698515,0.01801746829629717,0.9998727171931,0.9933071490757153,0.9890130573694068
24,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.209144e-11,0.006244564165577947,0.017949123618830134,0.9989851702585082,0.9933071490757153,0.9890130573694068
25,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007418377,0.003801762341467568,0.01798100091337946,0.9979096703880043,0.9933071490757153,0.9890130573694068
26,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4350312e-12,0.003022077392580608,0.01797743796278111,0.9995000491186564,0.9933071490757153,0.9890130573694068
27,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.574262e-14,0.004495823150879623,0.017987925360256833,0.8686148210154644,0.9933071490757153,0.9890130573694068
28,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4350312e-12,0.0034054609136594514,0.017996648596217964,0.9995000491186564,0.9933071490757153,0.9890130573694068
29,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.380884e-08,0.005016077050614262,0.018003250925636167,0.9886473111650002,0.9933071490757153,0.9890130573694068
30,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1385766e-13,0.004970343617896563,0.017974489756944354,0.9999645322527106,0.9933071490757153,0.9890130573694068
31,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000121736295,0.005849705946224032,0.01798682475330389,0.9417203491157764,0.9933071490757153,0.9890130573694068
32,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.4541138e-06,0.00511377182482057,0.017971849497304036,0.9561866473815563,0.9933071490757153,0.9890130573694068
33,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5808145e-05,0.004585759936027697,0.017958628679086975,0.8402784878844853,0.9933071490757153,0.9890130573694068
34,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.100475e-07,0.005168783676159401,0.01796751836906972,0.9787355161457602,0.9933071490757153,0.9890130573694068
35,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0330953e-13,0.23702994674952935,0.23662989129621864,0.9944626925641986,0.9933071490757153,0.9890130573694068
36,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9553450520753098,0.9409100867230761,0.9933071490757153,0.9890130573694068
37,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9553299827804603,0.9981522710939138,0.9933071490757153,0.9890130573694068
38,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.955471321209922,0.8974429012862986,0.9933071490757153,0.9890130573694068
39,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9552398053442073,0.9072925059983022,0.9933071490757153,0.9890130573694068
40,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999845,0.99999999999997,0.9553159479558603,0.9990832502990729,0.9933071490757153,0.9890130573694068
41,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9552463479734791,0.9503783446684738,0.9933071490757153,0.9890130573694068
42,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99956864,0.99999999999997,0.9554394753162961,0.9800274578894133,0.9933071490757153,0.9890130573694068
43,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866621,0.99999999999997,0.9553413481639857,0.996356961904783,0.9933071490757153,0.9890130573694068
44,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9344753,0.99999999999997,0.9551963651652418,0.9994521146853734,0.9933071490757153,0.9890130573694068
45,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9553557755295358,0.9762129978175753,0.9933071490757153,0.9890130573694068
46,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9553603035416908,0.9944629846456164,0.9933071490757153,0.9890130573694068
47,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9553471973582501,0.9993932485049729,0.9933071490757153,0.9890130573694068
48,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9554319474203792,0.9906087408078527,0.9933071490757153,0.9890130573694068
49,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999989,0.99999999999997,0.9553523313184419,0.9981671179996457,0.9933071490757153,0.9890130573694068
50,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999999999997,0.9553989666236877,0.9832106537164823,0.9933071490757153,0.9890130573694068
51,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.99999999999997,0.9553781106249747,0.8652812347798913,0.9933071490757153,0.9890130573694068
