win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,P_v,P_m,P_u
373,0,1.0,0.0,1.0,1.0,0.0,0.0,4.461538e-10,0.7844077585355169,0.017984570024175004
374,0,1.0,0.0,1.0,1.0,0.0,0.0,0.00040020284,0.784407876255301,0.017981248204539606
375,0,1.0,0.0,1.0,1.0,0.0,0.0,0.00015208391,0.7844078762854495,0.018028651872500755
376,0,1.0,0.0,1.0,1.0,0.0,0.0,0.023431748,0.7844078733170622,0.017949520979853265
377,0,1.0,0.0,1.0,1.0,0.0,0.0,2.3938126e-10,0.784407876285461,0.018001040550036422
378,0,1.0,0.0,1.0,1.0,0.0,0.0,3.7882005e-13,0.7844078762854642,0.01800332510348681
379,0,1.0,0.0,1.0,1.0,0.0,0.0,1.4667697e-07,0.7844078762854517,0.018004526241543792
380,1,1.0,0.65,1.0,1.0,0.0,1.0,1.0,0.7844078762853667,0.6345570861523924
381,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.7844078760192787,0.9664650679846677
382,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99999917,0.7844078757611394,0.9665908124420741
383,1,0.0,1.0,1.0,1.0,0.0,0.0,0.39505973,0.7844078695714912,0.9664791299714272
384,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7844057588307428,0.9666503967740285
385,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999989,0.7844078762808219,0.9665238710520893
386,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7844078746809753,0.966573479486396
387,1,1.0,1.0,1.0,1.0,1.0,1.0,0.8822153,0.7844076905338054,0.9665378168294882
388,1,0.0,1.0,1.0,1.0,0.0,0.0,8.414998e-09,0.7843973198095366,0.966500759788903
389,1,0.0,1.0,1.0,1.0,0.0,0.0,1.8304274e-05,0.7844070561717635,0.9665201967331706
390,1,0.0,1.0,1.0,1.0,0.0,0.0,0.027652757,0.7843851007345941,0.9664513082249518
391,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7843995343484239,0.9664900769777525
392,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999957,0.7841520402102404,0.9665340958535996
393,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999995,0.7844070298420082,0.9666119896381098
394,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9962612,0.7844065661388284,0.9665949803695358
395,1,1.0,1.0,1.0,1.0,1.0,0.0,0.7943069,0.7844076298957744,0.966566557035638
396,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7843983535205044,0.9665664948283746
397,1,1.0,1.0,1.0,1.0,1.0,1.0,0.999998,0.7844078660263157,0.9665738266014205
398,1,0.0,1.0,1.0,1.0,0.0,0.0,0.15135564,0.7844061111652533,0.9664916061669068
399,1,1.0,1.0,1.0,1.0,0.0,0.0,0.6698841,0.784407867988529,0.9666264501826778
400,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999994,0.7843988916797116,0.9665815076905085
401,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99988973,0.7844076382122872,0.9665648042927889
402,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9371598,0.7844078518236787,0.966481297060901
403,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999987,0.7844078677452727,0.9665762679725464
404,1,1.0,1.0,1.0,1.0,1.0,1.0,0.99997485,0.7844078364770838,0.966517407115822
405,1,0.0,0.9166666666666666,1.0,1.0,0.0,0.0,7.7773805e-08,0.7844078656919895,0.8887656014941415
406,1,0.0,1.0,1.0,1.0,0.0,0.0,4.1992877e-05,0.7843974771874646,0.969404492695851
407,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9999976,0.7844044989756201,0.9693493588526578
408,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.784407541278163,0.9693833518388426
409,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0011603279,0.7844078733808587,0.9692510076989876
410,1,0.0,1.0,1.0,1.0,0.0,0.0,0.040085662,0.7843875361705838,0.9693019682199375
411,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9998605,0.7843656441217174,0.9692695439308235
412,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9976254,0.7844078597976953,0.9692426470338777
413,0,1.0,0.2,1.0,1.0,0.0,0.0,2.361044e-08,0.7844078755689862,0.2150409949668158
414,0,1.0,0.0,1.0,1.0,0.0,0.0,1.3640879e-07,0.7844078762853776,0.017957863670826673
415,0,1.0,0.0,1.0,1.0,0.0,0.0,6.47554e-05,0.7844078762263431,0.018017758881545817
416,0,1.0,0.0,1.0,1.0,0.0,0.0,6.3984175e-05,0.7844078720799652,0.017964497588140258
417,0,1.0,0.0,1.0,1.0,0.0,0.0,3.838789e-09,0.7844078762854572,0.017922502849463822
418,0,1.0,0.0,1.0,1.0,0.0,0.0,5.08013e-09,0.7844078755891074,0.018010088691613198
