win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.2862873e-11,0.9999369951708681,0.017981851275246024,0.9981243980711986,0.9933071490757153,0.9890130573694068
1,0,1.0,0.45,1.0,1.0,0.0,1.0,1.0,6.63057e-08,0.5131771815252716,0.017994302513319713,0.9989697674119054,0.9933071490757153,0.9890130573694068
2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.101996884,0.01758839692867861,0.018019782013481252,0.9949203724076301,0.9933071490757153,0.9890130573694068
3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.204584e-07,0.005782125293349348,0.01802178396796809,0.995089026466219,0.9933071490757153,0.9890130573694068
4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.002682e-14,0.003286371443817616,0.01803911198427095,0.997773604373335,0.9933071490757153,0.9890130573694068
5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9297019e-08,0.004506836772717719,0.018005495037803475,0.9976896137688731,0.9933071490757153,0.9890130573694068
6,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.443865e-11,0.004632238461744779,0.01797886777573624,0.9990053344884574,0.9933071490757153,0.9890130573694068
7,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2128203e-07,0.004411076988265138,0.018004723675923637,0.9938498234649357,0.9933071490757153,0.9890130573694068
8,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0320206e-13,0.0036719234196883202,0.017940822850176653,0.9992228857414609,0.9933071490757153,0.9890130573694068
9,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.3131754e-10,0.003981129890046085,0.01799681571846559,0.9999629775814081,0.9933071490757153,0.9890130573694068
10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9420555e-09,0.0044178745073375925,0.01794094133605305,0.9975517672615839,0.9933071490757153,0.9890130573694068
11,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0130706e-10,0.0036568224509235495,0.017988460498475377,0.9210911024844174,0.9933071490757153,0.9890130573694068
12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0328166e-12,0.0034848136174686953,0.017984777575979525,0.9971366053115113,0.9933071490757153,0.9890130573694068
13,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5228636e-06,0.0031414705928510204,0.01799059650055754,0.9944773913507834,0.9933071490757153,0.9890130573694068
14,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00046512013,0.00523768576542698,0.01794502310618066,0.9962567110645182,0.9933071490757153,0.9890130573694068
15,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4379879e-05,0.004178700442156044,0.01799026942246564,0.863349830276401,0.9933071490757153,0.9890130573694068
16,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9470502,0.004199093442728579,0.018005010443025493,0.9969701184351536,0.9933071490757153,0.9890130573694068
17,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5845124e-09,0.004196012781664228,0.017972343043211176,0.9977643406632561,0.9933071490757153,0.9890130573694068
18,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.123883e-12,0.00458715371128171,0.018018961715800693,0.9384416007177884,0.9933071490757153,0.9890130573694068
19,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.930678e-13,0.0052074340421027245,0.01800667044753359,0.9992624191965659,0.9933071490757153,0.9890130573694068
20,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0287807e-11,0.0045849353350972755,0.018002257526974576,0.9987269915114377,0.9933071490757153,0.9890130573694068
21,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.17858e-11,0.004616296555076188,0.01802448282429114,0.6124602581392218,0.9933071490757153,0.9890130573694068
22,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0009685895,0.004080591265378201,0.017984787660727232,0.9940552882031537,0.9933071490757153,0.9890130573694068
23,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.056608e-11,0.004365563866868402,0.017972756043825845,0.9998727171931,0.9933071490757153,0.9890130573694068
24,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.209144e-11,0.005673980020020377,0.017984408898997946,0.9989851702585082,0.9933071490757153,0.9890130573694068
25,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0007418377,0.005876268151250153,0.01796739287777648,0.9979096703880043,0.9933071490757153,0.9890130573694068
26,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4350312e-12,0.004450697547289428,0.017962144708234637,0.9995000491186564,0.9933071490757153,0.9890130573694068
