channel,failure,severity,accuracy,f1
mag,none,0,0.9945,0.9945300845350572
mag,em,1,0.4995,0.6662220740246749
mag,em,2,0.496,0.6573759347382733
mag,em,3,0.5,0.6666666666666666
mag,em,4,0.5,0.6666666666666666
mag,drift,1,0.5825,0.7054673721340388
mag,drift,2,0.5465,0.6879944960440316
mag,drift,3,0.5095,0.6709158000670916
mag,drift,4,0.5,0.6666666666666666
