win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,0.6333333333333333,1.0,0.0,0.0,1.0,2.2862873e-11,0.9998383337908491,0.3243688989408958,0.9981243980711986,0.9933071490757153,0.1
1,0,1.0,0.6,0.4166666666666667,1.0,0.0,0.0,1.0,6.63057e-08,0.4279878609362797,0.5026529225645542,0.9989697674119054,0.9933071490757153,0.1
2,0,1.0,1.0,0.4666666666666667,1.0,0.0,1.0,1.0,0.101996884,0.009087760334282581,0.4538718294195703,0.9949203724076301,0.9933071490757153,0.1
3,0,1.0,1.0,0.45,1.0,0.0,1.0,1.0,5.204584e-07,0.004602785345970208,0.4737963429094119,0.995089026466219,0.9933071490757153,0.1
4,0,1.0,1.0,0.43333333333333335,1.0,1.0,1.0,1.0,1.002682e-14,0.004681913119107537,0.46406889093328924,0.997773604373335,0.9933071490757153,0.1
5,0,1.0,1.0,0.4,1.0,0.0,1.0,1.0,1.9297019e-08,0.003719700811138096,0.5024988419359385,0.9976896137688731,0.9933071490757153,0.1
6,0,1.0,1.0,0.43333333333333335,1.0,0.0,1.0,1.0,9.443865e-11,0.0038079376493437103,0.4806353969155095,0.9990053344884574,0.9933071490757153,0.1
7,0,1.0,1.0,0.5333333333333333,1.0,1.0,1.0,1.0,1.2128203e-07,0.003162764441198042,0.419079453179327,0.9938498234649357,0.9933071490757153,0.1
8,0,1.0,1.0,0.4666666666666667,1.0,1.0,1.0,1.0,6.0320206e-13,0.004384251470193642,0.44660819963660914,0.9992228857414609,0.9933071490757153,0.1
9,0,1.0,1.0,0.5666666666666667,1.0,1.0,1.0,1.0,4.3131754e-10,0.004350211116387422,0.37003343789262616,0.9999629775814081,0.9933071490757153,0.1
10,0,1.0,1.0,0.45,1.0,1.0,1.0,1.0,2.9420555e-09,0.004143167952070311,0.4515319204955534,0.9975517672615839,0.9933071490757153,0.1
11,0,1.0,1.0,0.43333333333333335,1.0,0.0,1.0,1.0,1.0130706e-10,0.0038777372146039965,0.47592019993186896,0.9210911024844174,0.9933071490757153,0.1
12,0,1.0,1.0,0.4,1.0,0.0,1.0,1.0,5.0328166e-12,0.005559853006664309,0.5126211708643686,0.9971366053115113,0.9933071490757153,0.1
13,0,1.0,1.0,0.4,1.0,0.0,1.0,1.0,1.5228636e-06,0.004587678091179165,0.5045765029825635,0.9944773913507834,0.9933071490757153,0.1
14,0,1.0,1.0,0.38333333333333336,1.0,0.0,1.0,1.0,0.00046512013,0.0035587291991704983,0.5222543644751281,0.9962567110645182,0.9933071490757153,0.1
15,0,1.0,1.0,0.31666666666666665,1.0,0.0,1.0,1.0,2.4379879e-05,0.003683405501714423,0.555371378556718,0.863349830276401,0.9933071490757153,0.1
16,0,0.0,1.0,0.4,1.0,0.0,0.0,1.0,0.9470502,0.0045274591761570735,0.4983962348580274,0.9969701184351536,0.9933071490757153,0.1
17,0,1.0,1.0,0.43333333333333335,1.0,1.0,1.0,1.0,1.5845124e-09,0.005317208094603581,0.4612761168854581,0.9977643406632561,0.9933071490757153,0.1
18,0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,7.123883e-12,0.0042753845132954445,0.4225682378938936,0.9384416007177884,0.9933071490757153,0.1
