win_idx,label,acc_v,acc_m,acc_u,acc_mv,acc_ds_eq,acc_ds_static,acc_ours,P_v,P_m,P_u,w_v,w_m,w_u
0,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.369472e-18,0.8208125667518297,0.01796581024630993,0.1,0.9241418199787566,0.9890130573694068
1,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.225009e-06,0.954586960686916,0.01797666210374031,0.12108155502768798,0.9241418199787566,0.9890130573694068
2,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.9787129e-07,0.9504151716791251,0.018021843260644963,0.1,0.9241418199787566,0.9890130573694068
3,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.1735937e-16,0.9453515793549122,0.01798866471891475,0.1,0.9241418199787566,0.9890130573694068
4,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.2179432e-09,0.9490986424694016,0.018015516021363472,0.1,0.9241418199787566,0.9890130573694068
5,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00026292077,0.9425023361197823,0.017929582248290835,0.11095806203175838,0.9241418199787566,0.9890130573694068
6,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.4375208e-13,0.9399263369121748,0.01797589314929137,0.12643276580665375,0.9241418199787566,0.9890130573694068
7,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.9198036e-11,0.9413402192609356,0.017976414180048923,0.1,0.9241418199787566,0.9890130573694068
8,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00075956027,0.9393258252581108,0.018040347930449722,0.16302615022299138,0.9241418199787566,0.9890130573694068
9,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.9040036e-09,0.943083778993013,0.018035062236046787,0.9814297899247243,0.9241418199787566,0.9890130573694068
10,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.806226e-10,0.9551277270491111,0.018002537180086587,0.16417297117126511,0.9241418199787566,0.9890130573694068
11,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8785332,0.956656059046189,0.017965658001507977,0.1,0.9241418199787566,0.9890130573694068
12,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.06249e-06,0.9478735617553381,0.018032617990943692,0.12202402350275059,0.9241418199787566,0.9890130573694068
13,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.6554045e-12,0.9447409867238628,0.01799875179037157,0.1,0.9241418199787566,0.9890130573694068
14,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.36458537,0.9502019985640877,0.017974814836850306,0.1,0.9241418199787566,0.9890130573694068
15,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9346598485920035,0.01801382210612951,0.1,0.9241418199787566,0.9890130573694068
16,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.2204513e-08,0.9473563316944807,0.017976081978576582,0.1851770143523444,0.9241418199787566,0.9890130573694068
17,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.7295144e-14,0.9517084937419951,0.018050453422401844,0.1,0.9241418199787566,0.9890130573694068
18,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9484717233401384,0.017989501681287236,0.1,0.9241418199787566,0.9890130573694068
19,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.4011255e-06,0.9521371423524995,0.0179426520287906,0.1648372741498598,0.9241418199787566,0.9890130573694068
20,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.2258878e-06,0.949870075001307,0.018001607893823487,0.1288585850518347,0.9241418199787566,0.9890130573694068
21,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9555358029908513,0.017950620306108635,0.1,0.9241418199787566,0.9890130573694068
22,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.2781277e-10,0.9478247809698204,0.01797609995735555,0.1,0.9241418199787566,0.9890130573694068
23,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.2638565e-10,0.9426921765290063,0.017972174257153428,0.7955370965685267,0.9241418199787566,0.9890130573694068
24,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9.024263e-15,0.9418294397566457,0.017993033516351252,0.12210967941325686,0.9241418199787566,0.9890130573694068
25,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9.964219e-05,0.9447464957714115,0.017955195540073094,0.1176235499890799,0.9241418199787566,0.9890130573694068
26,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.1381532e-08,0.9370933417706229,0.017960979518848827,0.20606579952190393,0.9241418199787566,0.9890130573694068
27,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9488713411793082,0.017996462823980826,0.1,0.9241418199787566,0.9890130573694068
28,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.1381532e-08,0.9548814893146951,0.017969735508870325,0.20606579952190393,0.9241418199787566,0.9890130573694068
29,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.4439049e-12,0.9438555056993839,0.01801240975508408,0.1,0.9241418199787566,0.9890130573694068
30,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.6060753e-14,0.9366779360506148,0.01800991234460332,0.9964302876409481,0.9241418199787566,0.9890130573694068
31,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9430078311964135,0.017966763074679773,0.1,0.9241418199787566,0.9890130573694068
32,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.6838607e-12,0.9503830274673459,0.018016146006862712,0.1,0.9241418199787566,0.9890130573694068
33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9454904825254158,0.017990884154933058,0.1,0.9241418199787566,0.9890130573694068
34,0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00830575,0.9466836515755432,0.017974663825352385,0.1,0.9241418199787566,0.9890130573694068
35,0,1.0,0.23333333333333334,1.0,1.0,0.0,0.0,0.0,8.338594e-09,0.9485530916844381,0.23767818630133536,0.1,0.9241418199787566,0.9890130573694068
36,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.9340568e-08,0.961782753149307,0.9596801175189583,0.1,0.9241418199787566,0.9890130573694068
37,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0639267e-08,0.9766457423941246,0.959611654636955,0.6370293413458904,0.9241418199787566,0.9890130573694068
38,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9792553907614074,0.9596048392820792,0.1,0.9241418199787566,0.9890130573694068
39,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8213272,0.9605098985504238,0.9597128525365203,0.1,0.9241418199787566,0.9890130573694068
40,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.873477e-06,0.9626276215350345,0.9596010679280431,0.8720859258632008,0.9241418199787566,0.9890130573694068
41,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99989045,0.9578734914940026,0.9596027173377063,0.1,0.9241418199787566,0.9890130573694068
